id,round_id,participant_id,direction,quantity,cost,price_before,price_after,q_yes_after,q_no_after,executed_at,market_id
196,7,P01,no,1,-0.3178050823557328,0.679178699175393,0.6852009766653157,350,322,2026-06-01 12:21:35.366013,3
425,8,P09,no,3,0.44950013998970917,0.8554222495341228,0.844807753762903,435,374,2026-06-01 12:21:35.452314,3
197,7,P07,no,1,0.3178050823557328,0.6852009766653157,0.679178699175393,350,323,2026-06-01 12:21:35.496036,3
1550,17,P04,yes,1,0.04934548884494916,0.04869667456442473,0.049999740399933254,360,466,2026-06-01 12:21:35.657589,5
1551,17,P02,no,1,0.950654511154994,0.049999740399933254,0.04869667456442473,360,467,2026-06-01 12:21:35.684195,5
198,7,P03,no,13,-3.6827648686306134,0.679178699175393,0.7523361988609284,350,310,2026-06-01 12:21:35.752705,3
730,9,P09,no,1,0.38081192452750656,0.6224593312018546,0.6159095915435134,537,520,2026-06-01 12:21:35.835875,3
1268,11,P07,yes,8,6.6358755568709284,0.8133949179068393,0.844807753762903,606,545,2026-06-01 12:21:35.917574,3
731,9,P09,yes,19,-10.480397751719579,0.6159095915435134,0.4861146822539951,518,520,2026-06-01 12:21:35.962525,3
426,8,P09,no,9,-1.2575327263407985,0.844807753762903,0.8748396004250029,435,365,2026-06-01 12:21:35.995116,3
427,8,P09,no,1,0.1266917570516739,0.8748396004250029,0.8717662624074807,435,366,2026-06-01 12:21:36.063645,3
428,8,P09,no,9,1.287865806610796,0.8717662624074807,0.8411308951190849,435,375,2026-06-01 12:21:36.124167,3
732,9,P07,no,1,-0.5104149925384718,0.4861146822539951,0.49305600205173933,518,519,2026-06-01 12:21:36.226186,3
1622,20,P05,no,1,0.9611455664582991,0.039375324260408275,0.03833797212535963,488,604,2026-06-01 12:21:36.227312,5
1269,11,P03,no,1,0.15702483732161454,0.844807753762903,0.8411308951190849,606,546,2026-06-01 12:21:36.312087,3
733,9,P04,yes,11,5.842639494040441,0.49305600205173933,0.5690013325681905,529,519,2026-06-01 12:21:36.316550,3
199,7,P07,yes,1,-0.7497362589816703,0.7523361988609284,0.7471242672706695,349,310,2026-06-01 12:21:36.320064,3
734,9,P07,no,3,1.3237599278966172,0.5690013325681905,0.548458527973277,529,522,2026-06-01 12:21:36.355336,3
1270,11,P09,yes,7,-5.792900394192543,0.8411308951190849,0.8133949179068393,599,546,2026-06-01 12:21:36.372375,3
1552,17,P08,no,1,-0.950654511154994,0.04869667456442473,0.049999740399933254,360,466,2026-06-01 12:21:36.438530,5
735,9,P04,yes,1,0.5518949420409172,0.548458527973277,0.555328055262369,530,522,2026-06-01 12:21:36.438822,3
736,9,P07,yes,1,0.5587541409070127,0.555328055262369,0.5621765008857981,531,522,2026-06-01 12:21:36.555644,3
1553,17,P08,yes,4,0.21091417280399583,0.049999740399933254,0.055549260157611746,364,466,2026-06-01 12:21:36.643107,5
737,9,P09,yes,1,-0.5587541409070127,0.5621765008857981,0.555328055262369,530,522,2026-06-01 12:21:36.683421,3
738,9,P08,yes,1,0.5587541409070127,0.555328055262369,0.5621765008857981,531,522,2026-06-01 12:21:36.758970,3
