trade_id,market_id,round_id,direction,quantity,price_impact,abs_price_impact
59,5,17,no,20,-0.123727018632489,0.123727018632489
60,5,17,no,20,-0.04954734047078051,0.04954734047078051
61,5,17,no,20,-0.017493880791701853,0.017493880791701853
62,5,17,no,20,-0.00589720896636902,0.00589720896636902
63,5,17,no,4,-0.0005804359208446738,0.0005804359208446738
64,5,17,yes,20,0.004733180381707961,0.004733180381707961
65,5,17,yes,20,0.01410661620181223,0.01410661620181223
66,5,17,yes,20,0.04049562832841555,0.04049562832841555
67,5,17,yes,10,0.04110928613376851,0.04110928613376851
68,5,17,yes,20,0.15537568459391143,0.15537568459391143
69,5,17,yes,20,0.2557256082348417,0.2557256082348417
70,5,17,yes,20,0.24865665391009262,0.24865665391009262
71,5,17,yes,20,0.14447783382160273,0.14447783382160273
72,5,17,yes,20,0.060335669808207926,0.060335669808207926
73,5,17,yes,20,0.02165758208349866,0.02165758208349866
74,5,17,no,20,-0.02165758208349866,0.02165758208349866
75,5,17,no,20,-0.060335669808207926,0.060335669808207926
76,5,17,no,6,-0.032180205052697364,0.032180205052697364
77,5,18,no,20,-0.17778031645959547,0.17778031645959547
78,5,18,no,20,-0.2660606165335979,0.2660606165335979
79,5,18,no,20,-0.23141346877807692,0.23141346877807692
80,5,18,no,1,-0.008727154408867094,0.008727154408867094
81,5,18,no,20,-0.11880390062630143,0.11880390062630143
82,5,18,no,13,-0.035712683471781644,0.035712683471781644
83,5,18,yes,20,0.06644256477046936,0.06644256477046936
84,5,18,yes,20,0.15537568459391143,0.15537568459391143
85,5,18,yes,20,0.2557256082348417,0.2557256082348417
86,5,18,yes,5,0.06868488871630984,0.06868488871630984
87,5,18,no,9,-0.12414068967911457,0.12414068967911457
88,5,18,no,20,-0.24050078439868508,0.24050078439868508
89,5,18,no,20,-0.13390482456820307,0.13390482456820307
90,5,18,no,20,-0.05471167706495568,0.05471167706495568
91,5,18,no,20,-0.019469310058536887,0.019469310058536887
92,5,18,no,20,-0.006581163818357452,0.006581163818357452
93,5,18,no,20,-0.0021856548621543787,0.0021856548621543787
94,5,18,no,20,-0.000721600876643191,0.000721600876643191
95,5,18,yes,10,0.00026319940480941926,0.00026319940480941926
96,5,18,yes,11,0.0005198068243438573,0.0005198068243438573
97,5,18,yes,20,0.0023099439367458797,0.0023099439367458797
98,5,18,yes,20,0.006951925642482509,0.006951925642482509
99,5,18,yes,20,0.0205355935479075,0.0205355935479075
100,5,18,yes,2,0.0035102251742576036,0.0035102251742576036
101,5,18,yes,20,0.06332740418458815,0.06332740418458815
102,5,18,yes,20,0.14989120128827227,0.14989120128827227
103,5,18,yes,9,0.10414197899718369,0.10414197899718369
104,5,19,yes,20,0.2706535510655993,0.2706535510655993
105,5,19,yes,1,0.0129642280565061,0.0129642280565061
106,5,19,no,20,-0.27084711851672144,0.27084711851672144
107,5,19,no,20,-0.2057073358607241,0.2057073358607241
108,5,19,no,20,-0.10033220200654727,0.10033220200654727
109,5,19,no,20,-0.03847936633651748,0.03847936633651748
110,5,19,no,10,-0.008450220092545781,0.008450220092545781
111,5,19,yes,20,0.022837879220906545,0.022837879220906545
112,5,19,yes,20,0.06332740418458815,0.06332740418458815
113,5,19,yes,20,0.14989120128827227,0.14989120128827227
114,5,19,yes,5,0.05527691489552111,0.05527691489552111
115,5,19,yes,20,0.2660606165335978,0.2660606165335978
116,5,19,yes,9,0.11619964409712513,0.11619964409712513
117,5,19,no,20,-0.2677711831276303,0.2677711831276303
118,5,19,no,20,-0.22657174929281987,0.22657174929281987
119,5,19,no,20,-0.11880390062630143,0.11880390062630143
120,5,19,no,20,-0.04712971697144999,0.04712971697144999
121,5,19,no,20,-0.016579965110563987,0.016579965110563987
122,5,19,no,20,-0.005582060708654633,0.005582060708654633
123,5,19,no,15,-0.0015599883693233744,0.0015599883693233744
124,5,19,yes,20,0.002441266356266341,0.002441266356266341
125,5,19,yes,20,0.007343263815754794,0.007343263815754794
126,5,19,yes,18,0.018325288120763138,0.018325288120763138
127,5,19,yes,20,0.05471167706495568,0.05471167706495568
128,5,19,yes,9,0.04734730171449478,0.04734730171449478
