trade_id,market_id,round_id,direction,quantity,price_impact,abs_price_impact
1446,3,9,no,1,0.006360174775013605,0.006360174775013605
738,3,8,no,20,-0.10619049600863939,0.10619049600863939
739,3,8,no,3,-0.018246091491757044,0.018246091491757044
740,3,8,yes,4,0.024206727188956,0.024206727188956
1447,3,9,no,2,-0.01277066060538401,0.01277066060538401
1448,3,9,no,11,-0.07324705837256262,0.07324705837256262
741,3,8,no,8,0.04532323257916038,0.04532323257916038
1449,3,9,yes,12,-0.08299778625854098,0.08299778625854098
1450,3,9,no,7,0.048570520427256125,0.048570520427256125
742,3,8,no,1,0.00535544554716183,0.00535544554716183
1451,3,9,no,8,-0.055498470109026365,0.055498470109026365
283,3,7,no,13,-0.06297503249732295,0.06297503249732295
743,3,8,yes,1,0.005283976781832678,0.005283976781832678
1452,3,9,yes,1,0.00692794968177024,0.00692794968177024
1453,3,9,yes,8,-0.054978768243057474,0.054978768243057474
744,3,8,no,1,-0.005283976781832678,0.005283976781832678
1454,3,9,yes,1,0.006798721047609868,0.006798721047609868
1455,3,9,yes,1,-0.006798721047609868,0.006798721047609868
1456,3,9,yes,10,0.06885605566753972,0.06885605566753972
284,3,7,yes,11,0.054099932551933905,0.054099932551933905
745,3,8,yes,2,-0.010781711858831922,0.010781711858831922
746,3,8,yes,11,0.05570991053246788,0.05570991053246788
1457,3,9,yes,5,0.03469323300277388,0.03469323300277388
1458,3,9,yes,1,0.006917278298890772,0.006917278298890772
1459,3,9,yes,3,0.020661541908964964,0.020661541908964964
1460,3,9,yes,3,-0.020661541908964964,0.020661541908964964
747,3,8,yes,1,0.00462298351148227,0.00462298351148227
748,3,8,no,1,-0.00462298351148227,0.00462298351148227
1461,3,9,yes,1,0.00690396986339592,0.00690396986339592
1462,3,9,yes,2,0.013757572045569044,0.013757572045569044
1463,3,9,yes,1,0.0068484456234291224,0.0068484456234291224
1464,3,9,yes,14,0.09232574836608065,0.09232574836608065
1465,3,9,no,1,-0.006308029388134018,0.006308029388134018
1466,3,9,no,1,-0.006360174775013605,0.006360174775013605
749,3,8,no,16,-0.08387574414880372,0.08387574414880372
285,3,7,no,3,-0.013868955425285878,0.013868955425285878
750,3,8,yes,1,0.0057680800157665635,0.0057680800157665635
751,3,8,yes,6,0.0331794654594012,0.0331794654594012
752,3,8,no,1,-0.00535544554716183,0.00535544554716183
753,3,8,no,8,0.04081501623301609,0.04081501623301609
286,3,7,yes,1,0.004697221546987929,0.004697221546987929
754,3,8,yes,1,0.004771406440793768,0.004771406440793768
755,3,8,no,16,0.0663435835952283,0.0663435835952283
756,3,8,no,1,-0.0036070974478101814,0.0036070974478101814
1467,3,9,no,1,0.006360174775013605,0.006360174775013605
757,3,8,no,1,-0.0036768586438180595,0.0036768586438180595
1468,3,9,no,1,-0.006360174775013605,0.006360174775013605
1469,3,9,yes,1,0.006360174775013605,0.006360174775013605
758,3,8,no,1,-0.0037472034806167454,0.0037472034806167454
759,3,8,yes,1,-0.003818099192726798,0.003818099192726798
1470,3,9,no,6,0.03700675680157095,0.03700675680157095
287,3,7,yes,1,0.00462298351148227,0.00462298351148227
1471,3,9,no,15,-0.09589160057388912,0.09589160057388912
288,3,7,no,1,-0.00462298351148227,0.00462298351148227
289,3,7,yes,1,-0.004697221546987929,0.004697221546987929
1472,3,9,yes,4,0.026600215452086906,0.026600215452086906
760,3,8,no,1,-0.0038895110895871277,0.0038895110895871277
1473,3,9,yes,1,0.006549739658341158,0.006549739658341158
1474,3,9,yes,1,-0.006549739658341158,0.006549739658341158
1475,3,9,no,2,-0.01322425356502177,0.01322425356502177
1476,3,9,yes,11,-0.07493610292397845,0.07493610292397845
761,3,8,no,6,-0.024860758369994462,0.024860758369994462
1477,3,9,no,3,0.020709292918763778,0.020709292918763778
1478,3,9,yes,1,0.006869527289091959,0.006869527289091959
1479,3,9,yes,8,0.053989486581191626,0.053989486581191626
